2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,710.FoodA_consumer.INFO  [x] Received 05/22/21 14:19:45,No temperature
2023-09-30 15:20:10,710.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,711.FoodA_consumer.INFO  [x] Received 05/22/21 14:20:10,No temperature
2023-09-30 15:20:10,711.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,712.FoodA_consumer.INFO  [x] Received 05/22/21 14:20:15,No temperature
2023-09-30 15:20:10,712.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,713.FoodA_consumer.INFO  [x] Received 05/22/21 14:20:35,68.1
2023-09-30 15:20:10,713.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,714.FoodA_consumer.INFO  [x] Received 05/22/21 14:20:40,68.1
2023-09-30 15:20:10,714.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,715.FoodA_consumer.INFO  [x] Received 05/22/21 14:20:45,No temperature
2023-09-30 15:20:10,716.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,716.FoodA_consumer.INFO  [x] Received 05/22/21 14:21:10,No temperature
2023-09-30 15:20:10,717.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,717.FoodA_consumer.INFO  [x] Received 05/22/21 14:21:15,No temperature
2023-09-30 15:20:10,718.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,722.FoodA_consumer.INFO  [x] Received 05/22/21 14:21:35,69.2
2023-09-30 15:20:10,723.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,723.FoodA_consumer.INFO  [x] Received 05/22/21 14:21:40,69.2
2023-09-30 15:20:10,724.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,724.FoodA_consumer.INFO  [x] Received 05/22/21 14:21:45,No temperature
2023-09-30 15:20:10,725.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,725.FoodA_consumer.INFO  [x] Received 05/22/21 14:22:10,No temperature
2023-09-30 15:20:10,726.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,726.FoodA_consumer.INFO  [x] Received 05/22/21 14:22:15,No temperature
2023-09-30 15:20:10,727.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,727.FoodA_consumer.INFO  [x] Received 05/22/21 14:22:35,70.3
2023-09-30 15:20:10,728.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,728.FoodA_consumer.INFO  [x] Received 05/22/21 14:22:40,70.3
2023-09-30 15:20:10,729.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,729.FoodA_consumer.INFO  [x] Received 05/22/21 14:22:45,No temperature
2023-09-30 15:20:10,729.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,730.FoodA_consumer.INFO  [x] Received 05/22/21 14:23:10,No temperature
2023-09-30 15:20:10,730.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,731.FoodA_consumer.INFO  [x] Received 05/22/21 14:23:15,No temperature
2023-09-30 15:20:10,731.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,732.FoodA_consumer.INFO  [x] Received 05/22/21 14:23:35,71.5
2023-09-30 15:20:10,732.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,733.FoodA_consumer.INFO  [x] Received 05/22/21 14:23:40,71.5
2023-09-30 15:20:10,733.FoodA_consumer.INFO  [x] Done.
